operador,linea,servicio,tipo_traccion,trenes_km,coches_km,trenes_programados,trenes_cancelados,trenes_corridos,trenes_puntuales,trenes_atrasados,regularidad_absoluta,regularidad_relativa,cumplimiento_programa,pax_pagos,pax_dia_habil,ocupacion_media,pax_km,recaudacion_pesos,tarifa_media_pesos,km_linea,estaciones,observaciones,sin_programa,periodo,tasa_cancelacion
SOFSE,Sarmiento,SAR - Moreno-Mercedes (d),Diésel,52946.0,158838.0,1236.0,85.0,1151.0,929.0,222.0,0.7516181229773463,0.8071242397914856,0.9312297734627831,471.0,19.110766995225656,0.11914703618663602,18925.076933812892,19062.429999999997,40.47225053078556,61.761750000000006,14.0,Aumento de Tarifas 01/04/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-04-01,0.0688
SOFSE,Sarmiento,SAR - Once-Moreno (e),Eléctrico,235138.1586,2116243.4274,7145.0,682.0,6463.0,4693.0,1770.0,0.6568229531140658,0.7261333745938419,0.9045486354093771,4067209.99,165026.54445763075,37.794372526243805,79982092.45137058,87034072.71,21.398962169150256,36.3822,16.0,Aumento de Tarifas 01/04/2023 (Resolución RESOL-2022-1017-APN-MTR) / Conflictos gremiales afectaron la venta de boletos.,False,2023-04-01,0.0955
SOFSE,Tren de la Costa,TDC - Maipú-Delta (e),Eléctrico,33966.0,67932.0,2232.0,12.0,2220.0,2182.0,38.0,0.9775985663082437,0.9828828828828828,0.9946236559139785,115661.0,,18.05718430776846,1226660.644395327,2539107.3600000003,21.95301233778024,15.3,11.0,Aumento de Tarifas 01/04/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-04-01,0.0054
Metrovias S.A.,Urquiza,URQ - Federico Lacroze-Gral. Lemos (e),Eléctrico,114288.327,685729.962,4558.0,107.0,4451.0,2872.0,1579.0,0.6301009214567793,0.6452482588182431,0.9765247915752523,1647255.0,72651.66666666667,42.394228193547136,29070992.48818041,34576785.083500005,20.99054796221593,25.677,23.0,Aumento de Tarifas 01/04/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-04-01,0.0235
Ferrovías S.A.C.,Belgrano Norte,BN - Retiro-Villa Rosa (d),Diésel,213886.6,1371715.8,4676.0,97.0,4579.0,4306.0,273.0,0.9208725406330197,0.9403799956322341,0.9792557741659538,2860224.0,116788.35,39.74283116079876,54515869.44,52289658.25,18.281665439490055,51.944,22.0,Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-05-01,0.0207
SOFSE,Belgrano Sur,BS - Buenos Aires-González Catán (d),Diésel,83900.62800000001,503403.76800000004,3076.0,90.0,2986.0,2696.0,290.0,0.8764629388816645,0.9028801071667782,0.97074122236671,1333623.0,54270.75620766164,42.984157725250576,21638386.96319745,25351829.27,19.00974208603181,28.098000000000003,13.0,Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-05-01,0.0293
SOFSE,Belgrano Sur,BS - Buenos Aires-Marinos del Crucero Gral. Belgrano (d),Diésel,34095.194,170475.97000000003,1017.0,23.0,994.0,781.0,213.0,0.767944936086529,0.7857142857142857,0.9773844641101278,85766.0,3490.1810158540366,10.883765411423582,1855420.4657648846,1780718.98,20.762528041415013,34.301,16.0,Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-05-01,0.0226
SOFSE,Belgrano Sur,BS - González Catán-20 de Junio-Marcos Paz-Villars (d),Diésel,15581.52,31163.04,546.0,10.0,536.0,385.0,151.0,0.7051282051282052,0.7182835820895522,0.9816849816849816,2602.0,105.88637692386499,1.5675526717868746,48849.706613001246,55319.31000000003,21.2603036126057,29.07,4.0,Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR),False,2023-05-01,0.0183
SOFSE,Mitre,MIT - Retiro-Bartolomé Mitre (e),Eléctrico,13905.680399999997,83434.08239999998,1840.0,4.0,1836.0,1780.0,56.0,0.967391304347826,0.9694989106753813,0.9978260869565218,40798.0,1690.4369036831974,2.7842968676546103,232305.25428195662,1047135.7399999999,25.66634982106966,7.573899999999998,7.0,"Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR) / A partir del 26/05/2021 se realizará el servicio en forma limitada entre las estaciones Mitre y Belgrano R, por obras en la parrilla de vias de la estación Retiro.",False,2023-05-01,0.0022
SOFSE,Mitre,MIT - Retiro-José León Suárez (e),Eléctrico,54175.17,325051.02,3244.0,34.0,3210.0,2919.0,291.0,0.8998150431565968,0.9093457943925234,0.9895191122071517,1161152.0,48111.529770713074,39.732728515105784,12915163.931218222,26125715.270000003,22.499823683720997,16.877,14.0,"Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR) / Desde el 16/01, por las obras de renovación de la parrilla de vías de la estación Retiro Mitre, los trenes de la línea Mitre no arribarán ni partirán desde la terminal a partir del 16 de enero y hasta fines de abril próximo. El ramal Tigre operará con servicios limitados desde y hacia Belgrano C, mientras que el ramal José León Suárez funcionará hasta 3 de Febrero.",False,2023-05-01,0.0105
SOFSE,Mitre,MIT - Retiro-Tigre (e),Eléctrico,84093.576,504561.456,4165.0,11.0,4154.0,4086.0,68.0,0.9810324129651861,0.9836302359171882,0.9973589435774309,1583503.0,65611.35124989103,36.677923752044975,18506266.611388795,39007231.589999996,24.633506592661963,20.244,15.0,"Aumento de Tarifas 01/05/2023 (Resolución RESOL-2022-1017-APN-MTR) / Desde el 16/01, por las obras de renovación de la parrilla de vías de la estación Retiro Mitre, los trenes de la línea Mitre no arribarán ni partirán desde la terminal a partir del 16 de enero y hasta fines de abril próximo. El ramal Tigre operará con servicios limitados desde y hacia Belgrano C, mientras que el ramal José León Suárez funcionará hasta 3 de Febrero.",False,2023-05-01,0.0026
SOFSE,Mitre,MIT - Victoria-Capilla del Señor (d),Diésel,,,,,,,,,,,,,,,,,,,Desde el lunes 17/10/2022 se suspende el servicio Victoria-Capilla por obras de renovación de vías.,True,2023-05-01,
